review_id,product_id,title,author,rating,content,timestamp,profile_id,is_verified,helpful_count,product_attributes
R22P9TAALZTP3X,B0B43Y8GHZ,5.0 out of 5 stars Awesome speaker.,Stephen M.,5,"The sound of this speaker is incredible. Good highs and great bass. It was very easy to set up.It's not super heavy, but feels very solid. So far, the battery lasts a long time in between charges. It comes with wall charger. I would definitely recommend this speaker. I also got it on sale at a great price. The light is pretty cool too. You also have more control with the Sony Music center app.","Reviewed in the United States August 29, 2024",AF7LYPOQCT7STDHZITCSNE24VFIQ,True,1,Color: BlackStyle: SRSXG300/B
R123BOARGUG1WM,B0B43Y8GHZ,5.0 out of 5 stars All around great speaker,A like minded person,5,"I bought the bigger 500 series and thought to get the 300 series. While the 300 series is smaller and doesn’t offer some of the features that the 500 series offers, it’s a great smaller alternative that provides plenty of volume and bass. The speaker is waterproof and dust proof to a certain extent. I like the C drive charger which is very convenient. Saltwater and sand got on this speaker and it still performs flawlessly. Very happy with it considering its size.","Reviewed in the United States August 20, 2024",AEIXT4EMUTOBCXAIK4QDHTA3VPYQ,True,2,Color: BlackStyle: SRSXG300/B
R1NBOJS21O8D3K,B0B43Y8GHZ,5.0 out of 5 stars Absolutely incredible battery,Rodney Molidor,5,"This Sony XG500 boombox sounds good and has absolutely world-class battery life, and fast charging. However there are better sounding speakers for the money, and some that cost far less that sound just as good(Skullcandy barrel xt for example). This boombox has great features, including TWO USB-A ports so you can use one to play music from a USB stick, and another to charge your phone, plus a mic/guitar input! For me, the battery life is hugely important, and I can not overstate how long this battery lasts and how quickly it charges back up. FAR superior to all the others I have owned. And it sounds good, not the best, but plenty good enough. I absolutely love it.","Reviewed in the United States July 23, 2024",AGCI7M4EX5GHPCKJUSXWLKXVMADA,True,6,Color: BlackStyle: SRSXG500
R2T2U63981MT2C,B0B43Y8GHZ,4.0 out of 5 stars Sounds Great When Dialed In,Mike Blumenberg,4,"Out of the box, this speaker sounds pretty mediocre. But just tinker with the EQ, and it comes to life. It's a little big, and kinda heavy, but the built in handle makes transport a breeze - and it lays flat when not in use. The speaker is very well designed, and looks great. It gets fairly loud, but nothing too crazy. The JBLs definitely get louder, but I like the sound quality of the Sony better. At low to mid volumes, you can get over 12 hours of constant playing from the speaker. At near full volume, it's more like 6-8. If you like how it looks, and are in the market for this style speaker, give it a shot. I think you'll like it.","Reviewed in the United States March 20, 2024",AHHXAFJW5QRATN2RFEG5TFFQHOXQ,True,11,Color: BlackStyle: SRSXG300/B
R178FXIZIZC5U8,B0B43Y8GHZ,5.0 out of 5 stars A speaker worthy of the Sony name,Efrem Alexander,5,"This is a outstanding speaker, once you tune it with some EQ adjustments, out of the box the sound signature is warm and could be off-putting if you're expecting more clarity, but it is there you just have to know how to set it up. First make sure the LDAC is engaged and I also found the live setting to get more clarity and sparkle than the megebass setting and last but not least use a third party music app (I recommend Musicolet) it has multiple EQ band settings and also preamp to boost the volume of your music.With these 3 factors addressed this speaker produces some of the most well-balanced sound of all my Bluetooth speakers especially for its size, just like a fine instrument, it has to be tuned to get the best sound quality from it!!","Reviewed in the United States July 15, 2024",AEBN67HUWEPFLVQN4KCYKDGAWVRQ,True,8,Color: Light GrayStyle: SRSXG300/H
R3GLIWDFDEK5IL,B0B43Y8GHZ,"5.0 out of 5 stars Speaker With Feature and Skill! (Bow Hunting Skills, Numchuck skills, you know the rest....)",Natascha,5,"+The sound is amazing,+the battery life seems to last forever (especially if you turn off lights and bass boost, but even leaving them on...I'm still so impressed)+It looks super nice. I use this primarily as a home speaker actually that I move around at times, and I think it's a great speaker serving that role, too. I find it impressive truly as an ALL IN ONE product, you know? I must say, even after reviews, this speaker is better experienced in person than the reviews can even show. It's truly impressive. I think when asking if you should buy this or not, the answer is definitely YES if you want the extra features. For example,++ being able to turn this into a guitar amp is gonna make me feel especially cool when I very poorly sing and play guitar. I don't know how often I'll use this, but to have that as an option as actually pretty freaking sweet.++ Being able to charge things from my speaker, even if pretty slowly, is cool and useful.++ Being able to plug in an amazon echo into this speaker and have Alexa voice activated assistance is also freaking sweet. Having such a long battery life is a convenience even just using this mostly as a home speaker.This speaker really does rock! ;) It has numchuck skills, bow hunting skills, it just has skillz. It's NOICE!(I hope this review helps someone in some way. Remember to embrace your inner Napoleon.)which one, you say?You decide!Do you want this even at all AND you have the money? If so, go for it! If you want to spend less and don't mind lacking a few features, (features lik a guitar amp plug, an aux plug, two usb a charging ports, and a super long battery life), consider other options like the Soundcore Motion Boom Plus. You can spend half the price and get something that sounds really, really good still if just having something that plays good sounding music is your primary concern. It will lack some features, but they may be things you wouldn't really prioritize or use often anyway on a more feautre ridden speaker. Being poor, sometimes spending more really pays off, but it doesn't always. Sometimes I'm just as satisfied with a product at a lower price that still has 98% of the other features in common with higher priced items. Does paying more pay off here? Well, I think for the most part yes. I think the features really are fun.","Reviewed in the United States December 9, 2023",AECHBLEF5TE4MITCQKBMC4TNVGWQ,True,19,Color: BlackStyle: SRSXG500
R37FPLXWW406X4,B0B43Y8GHZ,5.0 out of 5 stars The best loudest clearest sounding speaker like it,James Alward,5,"It’s pretty loud, it depends on the music or input . The sound is bose like. The unit pairs to add multiple Sony speakers. Most impressed with zero to 3/4 volume clarity with the right music it is otherworldly lol . Speaker is way too expensive but it really sounds good!","Reviewed in the United States August 25, 2024",AHTM6QNL3W4UP2HFOUUSLD2GG4UA,True,0,Color: BlackStyle: SRSXG500
R35AIMWYE6RUG1,B0B43Y8GHZ,1.0 out of 5 stars Wretched Device Connectivity,daniascrewedme,1,"Once the speaker is turned on, any device that is connected to it can interrupt whatever is being currently being played through a speaker. For example, I'm playing a podcast through my speaker and then I receive a phone call on my phone. As soon as I answer the phone call, it's now playing through my speaker. In other words, it changed devices on me without any prompting, and this cannot be controlled.There isn't a way to remove devices that are connected to the speaker, and the app that ""controls"" the speaker is equally unhelpful. Poor design, decent sound, and an awful experience. I love Sony, but I will never buy another speaker from them again.","Reviewed in the United States August 27, 2024",AEHVRZE27YEKLPS6CLHF4IL7EDZA,True,1,Color: BlackStyle: SRSXG300/B
R2VC7O95ZQHVLB,B0B43Y8GHZ,5.0 out of 5 stars Get 2 for good stereo experience,Amazon Customer,5,"Love my speakers. I purchased one, but wasn't satisfied with the sound.To use them as a pair you must download an app from Sony. You pair the speakers there. The app shows you the music programs on your device and you click there.However, I can't use both speakers for my iPod, as the iPod won't show up in the list on my phone (in the Sony app) it's ok though. I am loving the stereo sound I get from the 2 Sony speakers, and I carry them into the kitchen when I cook, back to the home gym. Evidently they are ok to go out doors.Recommended!","Reviewed in the United States August 15, 2024",AEPSTN56C352YUJGRMNKBNL7VVKQ,True,0,Color: Light GrayStyle: SRSXG300/H
R19S6J2K6LLE0A,B0B43Y8GHZ,5.0 out of 5 stars Bluetooth speaker,MMS,5,I really love it produces good sound and it’s attractive very mobile with the handle. I like the color gray.,"Reviewed in the United States September 8, 2024",AESVG3SDMZP6P3SGLQUKO7WE3OOQ,True,0,Color: Light GrayStyle: SRSXG300/H
