review_id,product_id,title,author,rating,content,timestamp,profile_id,is_verified,helpful_count,product_attributes
R2CE7YQ1U1PC5B,B0BSNZJGTX,5.0 out of 5 stars Amazing sound,Golden,5,I absolutely love how easy this speaker is to setup. The Bluetooth connects immediately . The sound is such amazing quality and really booms loudly. It's super easy to charge and take it to go. I love how ergonomic the handle is making it easy to take anywhere. I love the different light options so I can change it depending on my current mood.,"Reviewed in the United States July 18, 2024",AE34WY4Y5NA6EUOLN2YZEC24AC3Q,True,0,Color: Black
R3CGXUZO4Y2ZGB,B0BSNZJGTX,5.0 out of 5 stars not worth money,Amber Dodson,5,Loud and durable,"Reviewed in the United States August 26, 2024",AF4VEP3WOPVW77QOPNKKKYBXTLXA,True,0,Color: Steel Grey
R1T4NZM3T3A56,B0BSNZJGTX,5.0 out of 5 stars Great portable speaker,Keller,5,"The sound quality is great, Connected great with no problems, charging is great except I would like it to tell what percentage it is on my phone like my other (Altec Lansing) speaker does, and the appearance is outstanding with the lights on at night looks great, it stayed connected with Bluetooth up to 100’. Overall this is a great not to expensive Bluetooth speaker.","Reviewed in the United States July 11, 2024",AGXEIKEYKOHO5QZ43F64AMQGVRGQ,True,0,Color: Black
RSYP9O6489ZGB,B0BSNZJGTX,5.0 out of 5 stars Works great!,Michael Cruz,5,Nice and loud,"Reviewed in the United States August 22, 2024",AH2ZX3U2CYNHLNLZ52CWVVOMDYRQ,True,0,Color: Steel Grey
R1ATDRQMZJK73P,B0BSNZJGTX,1.0 out of 5 stars Not charging,kayzee,1,"Product is not charging at all - right out of the box. Played a few minutes before dying. Sound quality good for the brief minutes it played. Sent to Altec under warranty within a day or so of delivery. Waited 2 weeks. After Altec returned to me, it charged the first time. Used for 2 hours. Tried to charge it again, but wouldn't charge. Maybe my luck with Altec Lansing products. I probably wouldn't buy Altec Lansing again.This is the second straight Lansing product I bought with technical issues. A compact speaker,Model IMW1100 worked for just few weeks then stopped charging. I returned to Amazon and bought another one (same IMW 1100). The replacement charges but the illuminating lighting system does not work. I got tired of returning to Amazon and just kept it. I hope someone in the delivery chain is not purposely selling defective Altec Lansing items.","Reviewed in the United States October 16, 2023",AEWFBTJGFBWSEJGR6L7B3XOT3QHQ,True,8,Color: Steel Grey
R3FPF7Y23QPMUC,B0BSNZJGTX,4.0 out of 5 stars Nice item,Fabian Martinez,4,Good sound quality for the price 👍,"Reviewed in the United States July 6, 2024",AHVJMXRLGJY3CHIOH6RHHHTVJHPA,True,1,Color: Steel Grey
R27PC942G09J0,B0BSNZJGTX,5.0 out of 5 stars Charge last forever!!!!!,Jess,5,"This speaker is absolutely perfect for the beach, poolside, or patio! The sound quality is amazing! It's very loud and the charge lasts forever!!!! It's easy to connect to by Bluetooth as well. It's def worth the buy.","Reviewed in the United States July 11, 2024",AED7APPC65ZGGIBNXTFAXFLQMD3A,True,1,Color: Black
RDHJWTJDOBBE2,B0BSNZJGTX,5.0 out of 5 stars Sounds Great!!,Amazon Customer,5,I bought two of these speakers during Amazon Prime Days. I love the ease of being able to Sync both speakers together and the 100 ft distance of being to play sound around the backyard or my shop.,"Reviewed in the United States July 26, 2024",AF5CCJECYO4VHSJWXEBRL2DJGKRA,True,0,Color: Steel Grey
R2PSICPDJRXGH7,B0BSNZJGTX,5.0 out of 5 stars 1.0 VS 2.0 Rickbox,r flores,5,"I really enjoy the LED lights on the 2.0 model. That being said vs the 1.0 version of this speaker, the 2.0 is lighter in weight and in sound. The older version delivers bigger sound with less lighting. If you like the LEDs a lot go with the 2.0. I chose the sound. Also the new model and the old model cannot be paired together.","Reviewed in the United States August 25, 2024",AFKLGSGTMREOGV7MHSCU7BJM7P3Q,True,0,Color: Black
R2X6A2I6EQAW6D,B0BSNZJGTX,5.0 out of 5 stars Great speaker like this company’s products.,Christopher,5,Durable speaker. I have another smaller speaker from altec that’s about 10 years old and works just fine. I just wanted an upgrade looking forward to using this. The lights are nice too.,"Reviewed in the United States July 31, 2024",AFCVLW2W6RJTST4XL5Z4PYXS24HA,True,0,Color: Black
