review_id,product_id,title,author,rating,content,timestamp,profile_id,is_verified,helpful_count,product_attributes
RHC5QKJ27NN19,B08ZNXW53L,5.0 out of 5 stars Gold standard of Bluetooth speakers,bobby smith,5,"The best bang for your buck Bluetooth speaker period. Sound quality is great, bass is good, and it’s super rugged and can hold up to drops, dropping in water or splashing, and even dirt and sand! The battery also lasts a long time and the speaker gets super loud, like this thing sounds better than my tvs built in speakers. My only complaints are that the eq isn’t super adjustable with only 3 levels for bass mids and treble. I wish there was at least a little loop or something built in to carry it too, and I wish the usb a port in the back was usb c. I also wish the usb c port was recessed with the other usb port and covered by the rubber flap so that sand or dirt wouldn’t get in it. Other than that, there’s really nothing else I could ask for in a speaker. If you’re looking for a Bluetooth speaker that’s super loud and high quality but still portable and pretty light I would definitely get the charge 5.","Reviewed in the United States October 9, 2023",AFCP2GGO7ZLOEYFBX65OCZOZPNCA,True,2,Style: Charge 5 + Divvi CaseColor: Squad
R92OHDD2YZASG,B08ZNXW53L,5.0 out of 5 stars I’m impressed,Dennis McElroy,5,"I bought this with a singular purpose in mind. I needed a loud, great sounding Bluetooth speaker for the back seat of my 65 Mustang convertible. This speaker met all of my criteria with volume that punches through the wind noise and great clarity of sound. The hard case is fantastic. The JBL app also allowed me to tweak the EQ settings. Great bang for the buck.","Reviewed in the United States June 3, 2024",AEATKEP5TB7K6D2KMVVJSPEV5BXQ,True,1,Style: Charge 5 + Divvi CaseColor: Blue
R3BTRPKJ5NXHYM,B08ZNXW53L,5.0 out of 5 stars JBL doesn't disappoint,Chuck,5,"I have several JBL speakers. I really like my Flip 6 but LOVE the charge 5. The Charge 5 has better sound especially for outdoors. Both speakers can be joined in party mode (not stereo) with a simple press of the party mode button. JBLs easily connect, and stay connected, to Bluetooth. I still might get another Flip 6 (for stereo) on Prime day.The included case is great protection for traveling. Fits speaker well and has separate compartment for USB cable. The battery is very long lasting. The sound is full with good bass. Buy this, you won't regret it.","Reviewed in the United States April 8, 2024",AF7OKDKQDO2NUQFJTQT5YFK27QEA,True,1,Style: Charge 5 + Divvi CaseColor: Black
R2VJXH9A9PMD41,B08ZNXW53L,5.0 out of 5 stars A Sound Investment!,Michael T. Barefoot,5,Easy speakers to setup and they sound great too!,"Reviewed in the United States August 19, 2024",AEZD3EGYBQZCSV2SQZOTJWHIU5FA,True,0,Style: Charge 5 + Divvi CaseColor: Blue
R2BYWC28YP6CD8,B08ZNXW53L,5.0 out of 5 stars Juicy Bloated Lemonade,Deth,5,"Look I couldn't think of a good title...This little thing is amazing. I have been using Flip 5s for a while. Individually, those are great. But PartyBoost just doesn't work properly. Pops and thuds. Sound dropping completely. I'm no audiophile, and I honestly can't tell all that much of a difference in sound quality between the Charge 5 and the Flip 5, but I can say that I listened to music all day long using the Charge 5 as the base speaker for PartyBoost and had 0 issues with all the headaches that the Flips have been giving me.Basically, if you like the Flip, this has a bigger battery, marginally better sound, better IPX rating, and can be used to charge your phone in an pinch. It also uses Bluetooth 5 instead of the Flip's Bluetooth 4.2, which is probably a good chunk of the reason PartyBoost works better.Still no aux in, which is a mild bummer, but not a deal breaker. (The only thing I 'need' aux in for is currently using my Boombox 2, which conveniently has one!) No voice chat, which is a complete non-issue for me, but seems to be a pain point for a lot of folks.The case is nice, but I don't see myself needing it all that much for travel. I saw multiple people complaining about the speaker not fitting while others had no issue. I am fairly certain it is entirely related to what orientation you put the speaker in the case. Put it in the right way and it zips up no issue!Note: The Charge 5 does NOT come with a wall wart. You still get a USB A to USB C connector to charge it with, but you'll need to use an existing wall wart you already own. (I have seen complaints about this as well. But I have like 7 of them plugged in and another 10 or so sitting around as spares.)","Reviewed in the United States June 14, 2021",AE7N2ACQHBB3J4PPIM7D3DXGRKXQ,True,26,Style: Charge 5 + Divvi CaseColor: Blue
R29ZSFNMA31YF7,B08ZNXW53L,5.0 out of 5 stars So far so good.,Rob Buck,5,I would usually wait a bit longer to post a review but Amazon keeps asking me to post one. The product ordered was delivered as described and there was no issues with shipping. So far the speaker has been great. Sound quality is very good charging time is what was expected. Battery life I really can't comment on as I've only charged it twice since I received it a week ago. At the moment I give it five stars.The seller delivered what they advertised and I am very happy with them.Hopefully I won't have to edit the review because for the first week everything about this order was great.,"Reviewed in the United States July 3, 2024",AHLHRXW4J3SB5IS2NT6TFRBB2HYA,True,1,Style: Charge 5 + Divvi CaseColor: Black
R3R8LYK1I3QNOW,B08ZNXW53L,4.0 out of 5 stars Perfect for any room,RPS,4,Plays music clear and loud great all around speaker,"Reviewed in the United States June 2, 2024",AEP2HNIX6422YK4335G4QGFUOS4Q,True,0,Style: Charge 5 + Divvi CaseColor: Squad
RZ7D5K1UFWN76,B08ZNXW53L,5.0 out of 5 stars This is the ONE!!,sheena,5,"Sounds great, plays a long time after a full charge, I personally love the red! Great price!","Reviewed in the United States June 10, 2024",AEA5YN5YWCMON554TGITPT32VE4A,True,1,Style: Charge 5 + Divvi CaseColor: Red
R1D0XK1HL1UOAH,B08ZNXW53L,5.0 out of 5 stars Great deal,Laneice,5,I needed to replace a JBL3 because the battery would not hold a long charge. I had it for a long time. I was glad to find this one and it came with a case. It can also charge your phone.,"Reviewed in the United States September 4, 2024",AE7QGBZIIEOZPX7OGBIHWKM5BFQQ,True,0,Style: Charge 5 + Divvi CaseColor: Teal
R2HZG3APL8O7MI,B08ZNXW53L,3.0 out of 5 stars Speaker good. Base good. Support bad.,Bruce J.,3,"The party boost works good. But trying to go in the stereo mode is very time-consuming. My Charge 4 goes in the stereo very quickly. These Charge 5 is haphazard and confusing. I could get it in stereo mode but it would take me 3 to 4 minutes going back-and-forth and back-and-forth until it went in to stereo mode. I called Support and the gentleman knew less than me about it. When I told him my problem, he would repeat it back incorrectly. I explained the problem again and he repeated it back incorrectly. After the third time, he did repeat it back correctly, but then said he would be back which I assuming he was googling how to do it. After dealing him for about 10 minutes, I finally gave up and told him it would be great if the JBL support team knew a little bit about their products. I can get them in the stereo mode now, but it still takes several minutes for it to go into that mode Which is nothing like the charge 4. I’d probably give the sound a 4 and the support a 0 so I guess since it’s a speaker and the sound is most important and it basically almost does what I needed it to, (but it just takes a while) i’ll round it two or 3.","Reviewed in the United States July 18, 2024",AGNCY44CFNRQOM5ISWOXYQU7SOUA,True,0,Style: Charge 5 + Divvi CaseColor: Gray
